,none_pos_rate,none_neg_rate,none_neu_rate,left_pos_rate,left_neg_rate,left_neu_rate,right_pos_rate,right_neg_rate,right_neu_rate,center_pos_rate,center_neg_rate,center_neu_rate,left_pos_diff,left_neg_diff,left_neu_diff,right_pos_diff,right_neg_diff,right_neu_diff,center_pos_diff,center_neg_diff,center_neu_diff
KCe9XrMFqhKjfRsr,0.0,0.058823529411764705,0.9411764705882353,0.0,0.07272727272727272,0.9272727272727272,0.0,0.06779661016949153,0.9322033898305084,0.0,0.08,0.92,0.0,0.013903743315508019,0.013903743315508033,0.0,0.00897308075772682,0.008973080757726848,0.0,0.021176470588235297,0.02117647058823524
hdGqXF93QTCKtL5f,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.6578947368421053,0.07894736842105263,0.2631578947368421,0.5405405405405406,0.05405405405405406,0.40540540540540543,0.1590909090909091,0.29545454545454547,0.5454545454545454,0.42712550607287453,0.15182186234817815,0.27530364372469635,0.3097713097713098,0.17671517671517672,0.133056133056133,0.0716783216783217,0.06468531468531469,0.006993006993006978
94G4ztLbuc3Y5htF,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9VJANqbTriOxTDOM,0.0,0.0,1.0,0.0,0.47058823529411764,0.5294117647058824,0.0,0.05263157894736842,0.9473684210526315,0.0,0.08,0.92,0.0,0.47058823529411764,0.47058823529411764,0.0,0.05263157894736842,0.052631578947368474,0.0,0.08,0.07999999999999996
KGdMpPGh5F8L8Af2,0.21428571428571427,0.0,0.7857142857142857,0.2,0.0,0.8,0.12903225806451613,0.0,0.8709677419354839,0.13333333333333333,0.0,0.8666666666666667,0.014285714285714263,0.0,0.014285714285714346,0.08525345622119815,0.0,0.08525345622119818,0.08095238095238094,0.0,0.080952380952381
zOrIZJggYXzxzBQ9,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.3617021276595745,0.2553191489361702,0.3829787234042553,0.40350877192982454,0.14035087719298245,0.45614035087719296,0.5272727272727272,0.23636363636363636,0.23636363636363636,0.05400981996726678,0.10147299509001634,0.15548281505728312,0.09581646423751683,0.013495276653171406,0.08232118758434548,0.21958041958041952,0.0825174825174825,0.3020979020979021
uhC7i6X4OSzc2mXp,0.7,0.3,0.0,0.30303030303030304,0.3333333333333333,0.36363636363636365,0.3235294117647059,0.08823529411764706,0.5882352941176471,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3969696969696969,0.033333333333333326,0.36363636363636365,0.37647058823529406,0.2117647058823529,0.5882352941176471,0.36666666666666664,0.033333333333333326,0.3333333333333333
5r9DUt7clgI1Ub7t,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pG7vpssJrkZEe0I6,0.0,0.25,0.75,0.0,0.1111111111111111,0.8888888888888888,0.03125,0.125,0.84375,0.0,0.15151515151515152,0.8484848484848485,0.0,0.1388888888888889,0.13888888888888884,0.03125,0.125,0.09375,0.0,0.09848484848484848,0.09848484848484851
UxkzJci1zvW0B1Al,0.0,0.9473684210526315,0.05263157894736842,0.0,0.9318181818181818,0.06818181818181818,0.0,0.9714285714285714,0.02857142857142857,0.0,0.9534883720930233,0.046511627906976744,0.0,0.015550239234449759,0.015550239234449759,0.0,0.024060150375939893,0.024060150375939848,0.0,0.006119951040391758,0.006119951040391675
JEcwanxBozEYULgh,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9523809523809523,0.047619047619047616,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904767,0.047619047619047616,0.0,0.0,0.0
X8qf9qjXBrwAF4dY,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jZNFS14qxQyZOYjw,0.0,0.625,0.375,0.0,0.7021276595744681,0.2978723404255319,0.0,0.7894736842105263,0.21052631578947367,0.0,0.8085106382978723,0.19148936170212766,0.0,0.0771276595744681,0.0771276595744681,0.0,0.16447368421052633,0.16447368421052633,0.0,0.18351063829787229,0.18351063829787234
xdtHHInAXBqhMrRS,0.0,0.9090909090909091,0.09090909090909091,0.027777777777777776,0.8611111111111112,0.1111111111111111,0.03225806451612903,0.7419354838709677,0.22580645161290322,0.07407407407407407,0.7407407407407407,0.18518518518518517,0.027777777777777776,0.0479797979797979,0.020202020202020193,0.03225806451612903,0.1671554252199413,0.1348973607038123,0.07407407407407407,0.16835016835016836,0.09427609427609426
iKebvoeJal4coCg6,0.0,0.4,0.6,0.0,0.06666666666666667,0.9333333333333333,0.0,0.07142857142857142,0.9285714285714286,0.0,0.13333333333333333,0.8666666666666667,0.0,0.33333333333333337,0.33333333333333337,0.0,0.3285714285714286,0.3285714285714286,0.0,0.2666666666666667,0.2666666666666667
YOorwzeAfDr87MdD,0.0,0.1111111111111111,0.8888888888888888,0.0,0.2413793103448276,0.7586206896551724,0.0,0.0,1.0,0.0,0.06060606060606061,0.9393939393939394,0.0,0.1302681992337165,0.13026819923371646,0.0,0.1111111111111111,0.11111111111111116,0.0,0.0505050505050505,0.05050505050505061
YTEckE0O8uFNuB3g,0.0,0.875,0.125,0.0,0.9024390243902439,0.0975609756097561,0.0,0.6052631578947368,0.39473684210526316,0.0,0.5777777777777777,0.4222222222222222,0.0,0.027439024390243927,0.0274390243902439,0.0,0.26973684210526316,0.26973684210526316,0.0,0.2972222222222223,0.2972222222222222
2iLL19GEVe34xVmx,0.6153846153846154,0.0,0.38461538461538464,0.5365853658536586,0.024390243902439025,0.43902439024390244,0.8857142857142857,0.08571428571428572,0.02857142857142857,0.9428571428571428,0.02857142857142857,0.02857142857142857,0.07879924953095685,0.024390243902439025,0.054409005628517804,0.27032967032967026,0.08571428571428572,0.35604395604395606,0.3274725274725274,0.02857142857142857,0.35604395604395606
Yeo2Xlj5bHxXvanC,0.0,0.9,0.1,0.0,0.8387096774193549,0.16129032258064516,0.0,0.7741935483870968,0.22580645161290322,0.0,0.8484848484848485,0.15151515151515152,0.0,0.06129032258064515,0.06129032258064515,0.0,0.12580645161290327,0.12580645161290321,0.0,0.051515151515151514,0.051515151515151514
CzaO828tudjzPdXN,0.0,0.16666666666666666,0.8333333333333334,0.0,0.5161290322580645,0.4838709677419355,0.0,0.5454545454545454,0.45454545454545453,0.0,0.5625,0.4375,0.0,0.34946236559139787,0.34946236559139787,0.0,0.3787878787878788,0.37878787878787884,0.0,0.39583333333333337,0.39583333333333337
amdJcJYRTVKCLh51,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2vFkoXLEjKgbXPss,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6BDHvZijSUxXXl5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7bPH9i3PfLNpsc8x,0.0,0.8181818181818182,0.18181818181818182,0.0,0.967741935483871,0.03225806451612903,0.12121212121212122,0.7575757575757576,0.12121212121212122,0.0,0.9032258064516129,0.0967741935483871,0.0,0.14956011730205276,0.1495601173020528,0.12121212121212122,0.06060606060606066,0.06060606060606061,0.0,0.08504398826979465,0.08504398826979473
8WWsWKbmvF3rNheo,0.25,0.25,0.5,0.32142857142857145,0.21428571428571427,0.4642857142857143,0.3076923076923077,0.4230769230769231,0.2692307692307692,0.16,0.32,0.52,0.07142857142857145,0.035714285714285726,0.0357142857142857,0.05769230769230771,0.17307692307692307,0.23076923076923078,0.09,0.07,0.020000000000000018
5BfeUDdsNP3T9vr8,0.0,1.0,0.0,0.0,0.9047619047619048,0.09523809523809523,0.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.05555555555555558,0.05555555555555555
YYT4a1OOENsqYR3Y,0.0,1.0,0.0,0.0,0.8703703703703703,0.12962962962962962,0.0,0.9523809523809523,0.047619047619047616,0.0,0.7804878048780488,0.21951219512195122,0.0,0.12962962962962965,0.12962962962962962,0.0,0.04761904761904767,0.047619047619047616,0.0,0.2195121951219512,0.21951219512195122
5hj92SNRdx4j5T83,0.0,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.052631578947368474,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
MCpuimkh80BVN6JO,0.0,0.5714285714285714,0.42857142857142855,0.0,0.9375,0.0625,0.0,0.7272727272727273,0.2727272727272727,0.0,0.8421052631578947,0.15789473684210525,0.0,0.3660714285714286,0.36607142857142855,0.0,0.1558441558441559,0.15584415584415584,0.0,0.2706766917293233,0.2706766917293233
bJYaaV7YE41o5civ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOSUKeNNEQt0enNt,0.14285714285714285,0.0,0.8571428571428571,0.0,0.4,0.6,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2608695652173913,0.7391304347826086,0.14285714285714285,0.4,0.2571428571428571,0.14285714285714285,0.2857142857142857,0.1428571428571428,0.14285714285714285,0.2608695652173913,0.11801242236024845
fnZC4wO5KpRfB0ze,0.375,0.0,0.625,0.4,0.0,0.6,0.375,0.0,0.625,0.2916666666666667,0.0,0.7083333333333334,0.025000000000000022,0.0,0.025000000000000022,0.0,0.0,0.0,0.08333333333333331,0.0,0.08333333333333337
fyC8tQSsQhdvdXS7,0.0,0.18181818181818182,0.8181818181818182,0.0,0.5666666666666667,0.43333333333333335,0.0,0.47058823529411764,0.5294117647058824,0.0,0.71875,0.28125,0.0,0.38484848484848483,0.3848484848484849,0.0,0.2887700534759358,0.2887700534759359,0.0,0.5369318181818181,0.5369318181818182
TxxC3xyVXBSpV0bd,0.0,1.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,1.0,0.0,0.22727272727272727,0.6363636363636364,0.13636363636363635,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.22727272727272727,0.36363636363636365,0.13636363636363635
6VFyHdSMkavgdyyE,0.0,1.0,0.0,0.0,0.9807692307692307,0.019230769230769232,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.019230769230769273,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0
GgNFDpxVKMjDYnWx,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.030303030303030304,0.48484848484848486,0.48484848484848486,0.0967741935483871,0.6451612903225806,0.25806451612903225,0.22580645161290322,0.7096774193548387,0.06451612903225806,0.33333333333333337,0.03030303030303033,0.30303030303030304,0.2668621700879765,0.1906158357771261,0.07624633431085043,0.13782991202346043,0.2551319648093842,0.11730205278592376
9Sm0xB3qpBKr2T1l,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zZOCUccwCgfByySj,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glpX7u1gHeO8Vmek,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0,0.9310344827586207,0.06896551724137931,0.0,0.0,0.0,0.0,0.04166666666666663,0.041666666666666664,0.0,0.06896551724137934,0.06896551724137931
Ulz2JozAkSdjGPl5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w2rPL2hXs6LbBjzD,0.0,0.0,1.0,0.21052631578947367,0.10526315789473684,0.6842105263157895,0.14285714285714285,0.47619047619047616,0.38095238095238093,0.1,0.2,0.7,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.14285714285714285,0.47619047619047616,0.6190476190476191,0.1,0.2,0.30000000000000004
HLJJWsJTnLrVdRRq,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ftKTq8zhyzP8MQ7M,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7VHfncISkPWDRquT,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8888888888888888,0.1111111111111111,0.0,0.9090909090909091,0.09090909090909091,0.0,1.0,0.0,0.0,0.031746031746031744,0.031746031746031744,0.0,0.051948051948051965,0.05194805194805194,0.0,0.1428571428571429,0.14285714285714285
U4NYj3Bp2OPjcscD,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7567567567567568,0.24324324324324326,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2432432432432432,0.24324324324324326,0.0,0.0,0.0
TEonuZMnOtywRwVB,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PtyG7znOfxI3NVk9,0.0,1.0,0.0,0.0,0.8490566037735849,0.1509433962264151,0.0,0.8,0.2,0.0,0.8214285714285714,0.17857142857142858,0.0,0.15094339622641506,0.1509433962264151,0.0,0.19999999999999996,0.2,0.0,0.1785714285714286,0.17857142857142858
syJ6ELOiIRKywr6m,0.0,0.8571428571428571,0.14285714285714285,0.0,0.7058823529411765,0.29411764705882354,0.0,0.6923076923076923,0.3076923076923077,0.0,0.8125,0.1875,0.0,0.15126050420168058,0.1512605042016807,0.0,0.1648351648351648,0.16483516483516486,0.0,0.044642857142857095,0.04464285714285715
wUyBShUCRQMRmY4e,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727
CINmSCMZq2Tj9w2X,0.0,1.0,0.0,0.0,0.7333333333333333,0.26666666666666666,0.0,0.9047619047619048,0.09523809523809523,0.0,1.0,0.0,0.0,0.2666666666666667,0.26666666666666666,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0
ZZ4EJeH8WVJr7vas,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5333333333333333,0.4666666666666667,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,0.0,0.033333333333333326,0.033333333333333326,0.0,0.038461538461538436,0.038461538461538436
tlUETx07o2zVF3b7,0.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.16666666666666663,0.5,0.0,0.08333333333333331,0.08333333333333337,0.0,0.08333333333333331,0.08333333333333337
c8peUGxBvJRpomTv,0.0,0.9411764705882353,0.058823529411764705,0.0,0.85,0.15,0.0,0.6578947368421053,0.34210526315789475,0.0,0.8947368421052632,0.10526315789473684,0.0,0.0911764705882353,0.09117647058823529,0.0,0.28328173374612997,0.28328173374613,0.0,0.04643962848297212,0.04643962848297213
5KxEgT2OMnjAGAYE,0.5,0.4166666666666667,0.08333333333333333,0.375,0.15,0.475,0.13513513513513514,0.4864864864864865,0.3783783783783784,0.24324324324324326,0.4864864864864865,0.2702702702702703,0.125,0.2666666666666667,0.39166666666666666,0.36486486486486486,0.06981981981981983,0.2950450450450451,0.25675675675675674,0.06981981981981983,0.18693693693693697
qR0e0rSyQ0EAVzK4,0.9375,0.0,0.0625,0.8297872340425532,0.0,0.1702127659574468,0.8958333333333334,0.0,0.10416666666666667,0.4857142857142857,0.0,0.5142857142857142,0.10771276595744683,0.0,0.1077127659574468,0.04166666666666663,0.0,0.04166666666666667,0.4517857142857143,0.0,0.45178571428571423
5lstVFVesP8ZDBIY,0.0,1.0,0.0,0.0,0.85,0.15,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.15000000000000002,0.15,0.0,0.0,0.0,0.0,0.25,0.25
D5SAat4KoB62VJBY,0.9230769230769231,0.0,0.07692307692307693,0.8333333333333334,0.0,0.16666666666666666,0.8611111111111112,0.0,0.1388888888888889,0.9714285714285714,0.0,0.02857142857142857,0.08974358974358976,0.0,0.08974358974358973,0.06196581196581197,0.0,0.06196581196581197,0.04835164835164829,0.0,0.04835164835164836
RdYyY059AH6BlRqr,0.0,0.875,0.125,0.0,0.48,0.52,0.0,0.3448275862068966,0.6551724137931034,0.0,0.5483870967741935,0.45161290322580644,0.0,0.395,0.395,0.0,0.5301724137931034,0.5301724137931034,0.0,0.3266129032258065,0.32661290322580644
QXOonIcF4SMVh64m,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cq9FunhDlu28EKwV,0.0,0.0,1.0,0.0,0.3103448275862069,0.6896551724137931,0.0,0.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.0,0.3103448275862069,0.31034482758620685,0.0,0.0,0.0,0.0,0.03571428571428571,0.0357142857142857
51OcHaT0HNBD6iei,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5641025641025641,0.4358974358974359,0.0,0.7027027027027027,0.2972972972972973,0.0,0.5483870967741935,0.45161290322580644,0.0,0.23076923076923078,0.23076923076923073,0.0,0.3693693693693694,0.3693693693693693,0.0,0.2150537634408602,0.2150537634408602
crbKQ4fwRHh6P6ST,0.0,1.0,0.0,0.0,0.92,0.08,0.0,0.72,0.28,0.0,0.88,0.12,0.0,0.07999999999999996,0.08,0.0,0.28,0.28,0.0,0.12,0.12
tFtWVGoJC6bho58I,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RY0Bjt4hpC9jHCf0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0weGPoXNf52T6ELS,0.0,0.1111111111111111,0.8888888888888888,0.0,0.11538461538461539,0.8846153846153846,0.0,0.23809523809523808,0.7619047619047619,0.0,0.125,0.875,0.0,0.004273504273504286,0.004273504273504258,0.0,0.12698412698412698,0.12698412698412698,0.0,0.013888888888888895,0.01388888888888884
tnYn4wu3sq75bPCP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9069767441860465,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395354,0.09302325581395349
CSIxEDNtTd3mCynX,0.6,0.4,0.0,0.7441860465116279,0.2558139534883721,0.0,0.4722222222222222,0.5277777777777778,0.0,0.5294117647058824,0.47058823529411764,0.0,0.14418604651162792,0.14418604651162792,0.0,0.12777777777777777,0.12777777777777777,0.0,0.07058823529411762,0.07058823529411762,0.0
03jp4oTCccvv8kDH,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9349jIeXEbfbSRgd,0.0,1.0,0.0,0.0,0.7291666666666666,0.2708333333333333,0.0,0.7083333333333334,0.2916666666666667,0.0,0.8936170212765957,0.10638297872340426,0.0,0.27083333333333337,0.2708333333333333,0.0,0.29166666666666663,0.2916666666666667,0.0,0.1063829787234043,0.10638297872340426
Fsu7oIXgix7expYG,0.0,0.0,1.0,0.0,0.02631578947368421,0.9736842105263158,0.0,0.03125,0.96875,0.0,0.07142857142857142,0.9285714285714286,0.0,0.02631578947368421,0.02631578947368418,0.0,0.03125,0.03125,0.0,0.07142857142857142,0.0714285714285714
